date,actual_revenue,gross_profit,order_id,quantity,customer_id,is_returned,revenue_category_Casual,revenue_category_GenZ,revenue_category_Outdoor,revenue_category_Streetwear,revenue_segment_Activewear,revenue_segment_All-weather,revenue_segment_Balanced,revenue_segment_Everyday,revenue_segment_Performance,revenue_segment_Premium,revenue_segment_Standard,revenue_segment_Trendy,revenue_color_black,revenue_color_blue,revenue_color_green,revenue_color_orange,revenue_color_pink,revenue_color_purple,revenue_color_red,revenue_color_silver,revenue_color_white,revenue_color_yellow
2012-07-04,5123547.9399999995,1140556.7505618115,162,777,161,12,116436.20000000001,47319.06,358947.82999999996,4600844.850000001,340053.42999999993,116436.20000000001,1572352.0000000005,2501959.7700000005,426772.22000000003,18894.4,99760.86000000002,47319.06,689994.7199999999,528310.9299999999,928616.99,113127.03,168222.58000000002,948753.8899999998,494747.91,252465.30000000002,521426.37000000005,477882.22
2012-07-05,2751773.4500000016,601193.2162423311,97,428,97,7,38829.92,59801.119999999995,200817.52000000002,2452324.89,160828.53999999998,38829.92,818865.78,1487916.5699999998,140468.39,39988.979999999996,5074.15,59801.119999999995,414333.97000000003,167841.52,377319.17,101424.34,55456.23,619748.3699999999,150204.59999999998,191719.13999999998,291988.76,381737.35000000003
2012-07-06,3054029.42,536396.5766388968,93,441,93,8,86471.15999999999,28441.71,163769.08,2775347.469999999,163769.08,86471.15999999999,932551.0,1326982.31,476556.72,0.0,39257.44,28441.71,248983.78000000003,135675.57,717565.2400000001,211550.91000000003,217536.66000000003,575845.15,160792.47999999998,151955.26,490547.05000000005,143577.32
2012-07-07,2667930.9400000013,559684.319357176,73,364,73,6,24648.68,9769.32,81388.95,2552123.990000001,81388.95,24648.68,1175598.9000000001,1161535.4699999997,186522.26,0.0,28467.36,9769.32,122237.51,189416.69,579431.55,102617.21,222137.6,578121.31,174924.29,151130.02000000002,303291.94,244622.81999999998
2012-07-08,2360851.8999999994,552229.1051339756,88,394,87,8,0.0,28513.13,171002.44000000003,2161336.3299999996,171002.44000000003,0.0,640219.84,1101365.45,356141.22,0.0,63609.82,28513.13,254359.72,140368.75,389450.5800000001,65543.14,35132.98,582705.53,156714.99,326917.19,295377.71,114281.31000000001
2012-07-09,3548386.46,760544.7794584603,137,730,137,10,15765.420000000002,76630.03,457008.17,2998982.84,395880.58999999997,15765.420000000002,551388.27,1867163.4700000002,497872.0199999999,61127.58,82559.08,76630.03,359420.12,201465.78999999998,758101.03,172117.93,46329.6,437908.87999999995,186277.99000000002,264001.14999999997,478510.5200000001,644253.4500000002
2012-07-10,5234938.620000004,1190499.7833996764,183,928,182,11,88750.23999999999,53286.75000000001,470628.8299999999,4622272.800000004,458369.2699999999,88750.23999999999,1454223.9899999998,2487814.75,568653.2900000002,12259.56,111580.77,53286.75000000001,480969.88000000006,645916.08,1042598.7299999999,244513.11000000002,321871.54000000004,630283.7699999999,359564.87999999995,285728.16000000003,534182.4899999999,689309.98
2012-07-11,5582884.78,1244571.7113310413,221,1097,221,14,99980.72000000002,62346.84000000001,777801.6299999999,4642755.590000002,699293.59,99980.72000000002,956760.3699999999,3014731.43,575780.94,78508.04000000001,95482.85,62346.84000000001,543790.1099999999,367834.01999999996,896620.3099999998,393350.11999999994,451770.64,730975.7699999999,659532.4399999998,393402.7799999999,644518.37,501090.2199999999
2012-07-12,5734632.019999996,1275820.7477351814,246,1241,243,7,86511.85,112477.22999999998,772225.66,4763417.279999999,721229.5,86511.85,1173261.5400000003,2498169.670000001,877444.5499999998,50996.159999999996,214541.52,112477.22999999998,327294.63999999996,447338.94999999995,795647.2,550640.81,302847.27999999997,845948.5799999998,630660.86,524283.01,859052.87,450917.81999999995
2012-07-13,5309511.709999999,1166108.9310393622,201,995,200,6,36823.4,81412.29999999999,621541.2899999997,4569734.72,569318.5799999997,36823.4,1357365.2199999997,2296031.4699999997,752241.81,52222.71,164096.22,81412.29999999999,451408.79999999993,406227.64,1160807.6600000001,365077.67000000004,209623.21000000005,698814.1299999999,697372.73,420396.0299999999,548024.45,351759.39
