date,actual_revenue,year,month,day,dayofweek,is_weekend,quarter,dayofyear,week,sin_year_1,cos_year_1,sin_year_2,cos_year_2,is_holiday,is_promo_active,CPI,inflation_factor,actual_revenue_lag1,actual_revenue_lag7,actual_revenue_lag14,actual_revenue_lag30,revenue_diff_lag1_lag7,revenue_roll_mean_7_lag1,revenue_roll_std_7_lag1,revenue_roll_mean_14_lag1,revenue_roll_mean_30_lag1,revenue_ewma_7_lag1,revenue_ewma_30_lag1,sessions_roll_30_lag1
2013-01-31,3734920.208704365,2013,1,31,3,0,1,31,5,0.5083564379375122,0.8611467540480452,0.8755389928586302,0.4831474640149687,0,1,89.84,0.8984000000000001,4782163.145592167,2808242.108192341,2418983.693232414,5904437.878450582,1973921.037399826,4073282.3543442297,1239218.0500870885,3606729.532661238,3262466.517141585,4393014.146328117,3712848.156401881,9536.366666666667
2013-02-01,4488568.640360641,2013,2,1,4,0,1,32,5,0.5230943033491326,0.8522748088519838,0.8916401947968874,0.45274469960737107,0,1,89.84,0.8984000000000001,3734920.208704365,3142344.9577025813,2336653.5618878007,1788669.2341941225,592575.2510017836,4205664.9401316615,1125866.6534459495,3700724.998052092,3190149.2614833773,4228490.661922178,3714272.160807114,9508.2
2013-02-02,2575896.3835707926,2013,2,2,5,1,1,33,5,0.5376773767406141,0.8431506618282,0.9066860720977985,0.4218060770826634,0,1,89.84,0.8984000000000001,4488568.640360641,2573787.611308994,2757271.5828138916,2539715.060106857,1914781.0290516475,4397982.609082813,1024364.5872835941,3854433.217943009,3280145.9083555946,4293510.156531794,3764226.80622173,9684.933333333332
2013-02-03,2960125.690672305,2013,2,3,6,1,1,34,5,0.5521013427459208,0.8337770129585915,0.9206588168102428,0.3903682146763026,0,1,89.84,0.8984000000000001,2575896.3835707926,4250758.337043629,2808077.226179875,2645698.419412289,-1674861.9534728364,4398283.86226307,1023738.8203791202,3841477.846568502,3281351.9524710597,3864106.7132915435,3687560.2787702684,9849.966666666667
2013-02-04,3887474.096727515,2013,2,4,0,0,1,35,6,0.5663619330814524,0.8241566360566663,0.9335418911179212,0.35846832151248087,0,1,89.84,0.8984000000000001,2960125.690672305,5575147.784951019,4564091.073018699,2793257.758236867,-2615022.094278714,4213907.76992431,1161666.9327627602,3852338.4511751044,3291832.861513059,3638111.457636734,3640628.9872077294,9996.6
2013-02-05,4164584.7662511137,2013,2,5,1,0,1,36,6,0.580454927809098,0.8142923779467267,0.945320046913132,0.3261441535642696,0,1,89.84,0.8984000000000001,3887474.096727515,5380532.535618876,3938929.3410507557,2897769.946571684,-1493058.438891361,3972811.5287495228,995281.631664558,3804008.667154305,3328306.739462748,3700452.1174094295,3656554.486973962,10176.6
2013-02-06,2512041.2138245767,2013,2,6,2,0,1,37,6,0.5943761565849831,0.804187157621448,0.9559793438440766,0.2934339689665273,0,1,89.84,0.8984000000000001,4164584.7662511137,4782163.145592167,3157230.498664291,3392809.8731077444,-617578.3793410533,3799104.704554129,794501.2349486327,3820126.911811474,3370533.900118729,3816485.2796198507,3689330.6510235993,10331.0
2013-02-07,3084373.7622439894,2013,2,7,3,0,1,38,6,0.6081214998935418,0.7938439653781019,0.9655071658143364,0.2603764827344581,0,1,89.84,0.8984000000000001,2512041.2138245767,3734920.208704365,2808242.108192341,2726736.887800534,-1222878.9948797883,3474801.5714444728,789653.3152454769,3774041.962894351,3341174.9448092896,3490374.263171032,3613376.45693253,10461.0
2013-02-08,2859712.3402715945,2013,2,8,4,0,1,39,6,0.6216868902665479,0.7832658619336791,0.9738922359149924,0.22701082094141847,0,1,89.84,0.8984000000000001,3084373.7622439894,4488568.640360641,3142344.9577025813,2281517.9207479944,-1404194.878116652,3381866.3648072765,792215.0013293203,3793765.652469469,3353096.1739574056,3388874.1379392715,3579247.23533268,10637.833333333334
2013-02-09,3179501.0574354404,2013,2,9,5,1,1,40,6,0.6350683134867438,0.7724559775191742,0.981124629771712,0.19337647441020586,1,1,89.84,0.8984000000000001,2859712.3402715945,2575896.3835707926,2573787.611308994,3110342.2306322353,283815.95670080185,3149172.6076516984,636979.5727071166,3773577.6083672554,3372369.321274859,3256583.6885223524,3532825.6094887713,10814.666666666666
2013-02-10,3632304.616540516,2013,2,10,6,1,1,41,6,0.6482618097757122,0.7614175109532997,0.9871957872910085,0.15951325197263655,1,1,89.84,0.8984000000000001,3179501.0574354404,2960125.690672305,4250758.337043629,2608055.7101513804,219375.36676313542,3235401.846775219,585189.9506838102,3816842.8545191446,3374674.6155016324,3237313.0307506244,3510030.4680437124,10971.033333333333
