,correlation_score
actual_revenue_lag1,0.872392732990187
customer_id_lag1,0.8096568084690123
order_id_lag1,0.8085261272426907
quantity_lag1,0.7882223068020879
revenue_ewma_7_lag1,0.7817378561400044
revenue_roll_mean_7_lag1,0.7108292532799402
is_returned_lag1,0.7102404252383514
revenue_ewma_30_lag1,0.7081198462168425
revenue_roll_mean_30_lag1,0.6895988768384006
revenue_roll_mean_14_lag1,0.6836147805444632
gross_profit_lag1,0.5553401077447765
actual_revenue_lag7,0.5142750782064489
gross_profit_lag7,0.4384982499627349
customer_id_lag7,0.43325512293026314
order_id_lag7,0.4315512083569833
revenue_roll_std_7_lag1,0.42314958189419927
quantity_lag7,0.40782733915533925
is_returned_lag7,0.3828659318771371
sessions_lag1,0.3221058437259758
year,0.30695146336398865
day,0.2494727423727812
quarter,0.22343236042982775
month,0.2156980091659208
is_promo_active,0.16506467827573748
is_weekend,0.06755816447017991
dayofweek,0.06407653372094613
is_holiday,0.0634036535735255
